oid;PLZ;Ort
953;1873;Val-d'Illiez
954;1873;Champoussin
955;1873;Les Crosets
956;1874;Champéry
957;1875;Morgins
958;1880;Bex
959;1880;Frenières-sur-Bex
960;1880;Fenalet-sur-Bex
961;1882;Gryon
962;1884;Villars-sur-Ollon
963;1884;Arveyes
964;1884;Huémoz
965;1884;Bretaye
966;1885;Chesières
967;1886;Les Posses-sur-Bex
968;1888;Les Plans-sur-Bex
969;1890;St-Maurice
970;1891;St-Maurice Sorties
971;1891;Mex VS
972;1891;Vérossaz
973;1892;Lavey-Village
974;1892;Lavey-les-Bains
975;1892;Morcles
976;1893;Muraz (Collombey)
977;1894;Les Evouettes
978;1895;Vionnaz
979;1896;Vouvry
980;1896;Miex
981;1897;Bouveret
982;1898;St-Gingolph
983;1899;Torgon
984;1902;Evionnaz
985;1903;Collonges
986;1904;Vernayaz
987;1905;Dorénaz
988;1906;Charrat
989;1907;Saxon
990;1908;Riddes
991;1911;Ovronnaz
992;1911;Mayens-de-Chamoson
993;1912;Leytron
994;1912;Produit (Leytron)
995;1912;Montagnon(Leytron)
996;1912;Dugny (Leytron)
997;1913;Saillon
998;1914;Isérables
999;1914;Auddes-sur-Riddes
1000;1918;Mayens-de-Riddes
1001;1920;Martigny
1002;1920;Martigny 1
1003;1920;Martigny 2
1004;1920;Martigny 1 Dist
1005;1920;Martigny Fil Colis
1006;1921;Martigny-Croix
1007;1922;Salvan
1008;1922;Granges (Salvan)
1009;1923;Les Marécottes
1010;1923;Le Trétien
1011;1925;Finhaut
1012;1925;Le Châtelard VS
1013;1926;Fully
1014;1927;Chemin
1015;1928;Ravoire
1016;1929;Trient
1017;1932;Bovernier
1018;1932;Les Valettes
1019;1933;Sembrancher
1020;1933;Vens (Sembrancher)
1021;1933;Chamoille
1022;1933;La Garde
1023;1934;Le Châble VS
1024;1934;Bruson
1025;1934;Cotterg(Le Châble)
1026;1934;Villette
1027;1934;Fontenelle
1028;1934;Montagnier
1029;1936;Verbier
1030;1936;Verbier 1
1031;1936;Verbier 2
1032;1937;Orsières
1033;1938;Champex
1034;1941;Vollèges
1035;1941;Cries (Vollèges)
1036;1942;Levron
1037;1943;Praz-de-Fort
1038;1944;La Fouly VS
1039;1945;Liddes
1040;1945;Fontaine Dessus
1041;1945;Fontaine Dessous
1042;1945;Dranse (Liddes)
1043;1945;Chandonne (Liddes)
1044;1945;Rive Haute(Liddes)
1045;1945;Fornex (Liddes)
1046;1945;Les Moulins VS
1047;1945;Vichères (Liddes)
1048;1945;Palasuit (Liddes)
1049;1945;Chez Petit(Liddes)
1050;1945;Petit Vichères
1051;1946;Bourg-St-Pierre
1052;1947;Versegères
1053;1947;Prarreyer
1054;1947;Les Places
1055;1947;La Montoz
1056;1947;Champsec
1057;1947;Le Fregnoley
1058;1948;Lourtier
1059;1948;Fionnay
1060;1948;Sarreyer
1061;1948;Le Planchamp
1062;1948;Le Morgnes
1063;1950;Sion
1064;1950;Sion 1
1065;1950;Sion 2
1066;1950;Sion 3
1067;1950;Sion 4
1068;1950;Sion 5
1069;1950;Sion 1 CC Dist
1070;1950;Sion Base Colis
1071;1951;Sion
1072;1951;Sion Swisscom
1073;1951;Sion car postal
1074;1955;Chamoson
1075;1955;Les Vérines
1076;1955;Némiaz
1077;1955;Grugnay
1078;1956;St-Pierre-Clages
1079;1957;Ardon
1080;1958;St-Léonard
1081;1958;Uvrier
1082;1961;Vernamiège
1083;1962;Pont-de-la-Morge
1084;1963;Vétroz
1085;1964;Conthey
1086;1964;Conthey 1
1087;1964;Conthey 2
1088;1965;Savièse
1089;1965;Roumaz (Savièse)
1090;1965;Granois (Savièse)
1091;1965;Saint-Germain
1092;1965;Ormône (Savièse)
1093;1965;Mayens-de-la-Zour
1094;1965;Chandolin-Savièse
1095;1965;Drône VS
1096;1965;Monteiller
1097;1966;Ayent
1098;1966;Fortunau (Ayent)
1099;1966;Luc (Ayent)
1100;1966;Saint-Romain
1101;1966;Saxonne (Ayent)
1102;1966;Villa (Ayent)
1103;1966;La Place (Ayent)
1104;1966;Botyre (Ayent)
1105;1966;Blignoud (Ayent)
1106;1966;Argnoud (Ayent)
1107;1966;Signèse
1108;1967;Bramois
1109;1968;Mase
1110;1969;St-Martin VS
1111;1969;Liez (St-Martin)
1112;1969;Trogne (St-Martin)
1113;1969;Suen (St-Martin)
1114;1971;Grimisuat
1115;1971;Champlan
1116;1971;St-Raphaël
1117;1971;Coméraz
1118;1972;Anzère
1119;1973;Nax
1120;1974;Arbaz
1121;1975;St-Séverin
1122;1976;Erde
1123;1976;Aven
1124;1976;Daillon
1125;1977;Icogne
