pid;Anrede;PLZ;Ort;idPersonenTyp;import
36346;3;3000;Bern;1;0
36352;2;3008;Bern  ;1;0
36353;2;3008;Bern ;1;0
36354;2;3008;Bern;1;0
36355;3;80801;München;1;0
36356;3;3014;Bern;1;0
36357;3;2502;Biel/Bienne;1;0
36358;1;3004;Bern;1;0
36359;3;4538;Oberbipp;1;0
36360;3;4914;Roggwil ;1;0
36361;3;3006;Bern;1;0
36362;1;3011;Bern;1;0
36363;3;3758;Latterbach;1;0
36367;3;3018;Bern;1;0
36368;3;3110;Münsingen;1;0
36370;2;3066;Stettlen;1;0
36371;2;3095;Spiegel b. Bern;1;0
36372;3;3400;Burgdorf;1;0
36374;1;8032;Zürich;1;0
36380;2;3097;Liebefeld;1;0
36381;2;3629;Oppligen;1;0
36382;3;3053;Münchenbuchsee;1;0
36383;3;4500;Solothurn;1;0
36394;2;3018;Bern;1;0
36398;2;3086;Zimmerwald;1;0
36399;3;6020;Emmenbrücke;1;0
36400;3;4665;Oftringen;1;0
36401;2;3018;Bern;1;0
36403;2;0000;Rio;1;0
36405;3;3011;Bern;1;0
36406;3;2400;Locle;1;0
36407;2;3400;Burgdorf;1;0
36408;2;3014;Bern;1;0
35600;3;3232;Ins;1;0
35601;3;3032;Hinterkappelen;1;0
35604;2;3622;Homberg b. Thun;1;0
35605;3;3066;Stettlen;1;0
35606;3;3400;Burgdorf;1;0
35607;2;3072;Ostermundigen;1;0
35608;3;3315;Kräiligen;1;0
35609;3;3046;Wahlendorf;1;0
35610;2;3063;Ittigen;1;0
35611;2;3007;Bern;1;0
35625;2;3027;Bern;1;0
35626;2;8005;Zürich;1;0
35628;3;3027;Bern;1;0
35640;3;3000;Bern;1;0
35652;1;3011;Bern;1;0
35664;3;3075;Rüfenacht BE;1;0
35672;3;3014;Bern;1;0
35701;2;6206;Neuenkirch;1;0
35714;2;3014;Bern;1;0
35719;3;3007;Bern;1;0
35870;2;3076;Worb;1;0
35872;3;3027;Bern;1;0
35902;3;3011;Bern;1;0
35912;3;3005;Bern;1;0
35922;3;3007;Bern ;1;0
35937;2;3006;Bern;1;0
35938;2;3006;Bern;1;0
35939;3;3000;Bern;1;0
35940;2;6234;Triengen;1;0
35941;2;3014;Bern;1;0
35942;2;3014;Bern;1;0
36122;2;3052;Zollikofen;1;0
36123;3;3011;Bern;1;0
36124;2;3006;Bern;1;0
36125;3;3095;Spiegel b. Bern;1;0
36126;3;3203;Mühleberg;1;0
36127;2;3000;Bern;1;0
36128;3;3013;Bern;1;0
36129;2;2035;Corcelles NE;1;0
36151;2;3033;Wohlen ;1;0
36159;3;3006;Bern;1;0
36160;2;3048;Worblaufen;1;0
36334;2;3413;Kaltacker;1;0
36385;2;3250;Lyss;1;0
36397;3;3005;Bern;1;0
36419;2;3008;Bern;1;0
36424;3;3008;Bern;1;0
36426;3;3014;Bern;1;0
36427;3;3006;Bern;1;0
